Title|Author|Words|Type|Complete|Setting|Elsa|Anna|Powers|Sisters|Rated|Smut|Added|Published|Detail|AO3|FF|Other
Love Lesson 9|Hunhund|55|Multi-Chapter|Yes|mAU|Teacher|High School Student|No|No|M|Plot Focused|15/01/15|27/11/13|Elsa manages to land a high school teaching job despite her young age, and if she wasn't nervous enough a cute red nearly tackles her and calls her gorgeous on her first day. Can a relationship really blossom between a student and her teacher? Will the school and the other teachers let them get away with it? LL:9 is a touching story about forbidden love. Don't let the cutesy beginning fool you, this story has serious teeth, but it's well worth it.||https://www.fanfiction.net/s/10121308/1/Love-Lesson-9|
Love Lesson Learned|Hunhund|35|Multi-Chapter|No|mAU|Anna's Wife|Elsa's Wife|No|No|M|Medium|15/01/15|27/11/13|If you didn't get enough adorable love in Love Lesson 9, Love Lesson: Learned is basically a series of fluffy, smutty (and occasionally bittersweet) one shots that follow their lives after the story.||https://www.fanfiction.net/s/10177950/1/Love-Lesson-Learned|
Love Will Thaw|battousai24|13|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|T|None|15/01/15|27/11/13|[ELSANNA - dl;dr] Anna has feelings for Elsa. She admits it to Kristoff and he tells her she needs to confess to her sister. How do you tell the Snow Queen you're in love with her, and she's your sister? (Rated T, for now.||https://www.fanfiction.net/s/9966536/1/Love-Will-Thaw|
Lowest on the Totem Pole|Mattnextus|99|Multi-Chapter|No|mAU|College student|High school student|No|No|T|None|03/02/15|22/05/14|||https://www.fanfiction.net/s/10370348/1/Lowest-on-the-Totem-Pole|
Lying Here With You|Took-An-Arrow|38|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|T|None|15/01/15|27/11/13|A canon incest fic. Following the great thaw Elsa and Anna have never been closer. There are still so many secrets and painful memories from their childhoods, but together they just might be able to overcome them. Elsa and Anna are adorable together, and that's really what this fic is all about. It may not be the most original premise, but in my opinion this is the best of the 'canon Elsanna romance' stories. The most recent chapters have picked up the string of a plot and are running with it splendidly.||https://www.fanfiction.net/s/10109843/1/Lying-Here-With-You|
MÃ©nage Ã Trois|A Cold Touch|3|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|23/01/15|08/06/14|The Royal Sisters of Arendelle, Queen Elsa and Princess Anna, are having a little 'fun' during the deep of the night when an interloper joins in. What could the interloper possibly want from them? (hint: it rhymes with 'hex') Rapunzelsanna PWP ensues!||https://www.fanfiction.net/s/10488891/1/Meet-Me-in-Arendelle|
Meet Me in Arendelle|Icemera|16|Multi-Chapter|No|mAU|Young Adult|Young Adult|No|No|T|None|02/02/15|27/06/14|||https://www.fanfiction.net/s/10432877/1/M%C3%A9nage-%C3%A0-Trois|
Mending An Icy Break|Horrific Nerd|46|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|Medium|24/01/15|19/12/13|It's hard getting to know someone you've lived with for years, but always been isolated from. It gets even more complicated if you throw a whole array of new feelings into the mix. Sometimes it takes some real effort to heal.  [Set six months after the movie.] ||https://www.fanfiction.net/s/9938822/1/Mending-An-Icy-Break|
Min Soster Bursdagskake|Jessica-X|36|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Heavy|18/01/15|27/11/13|[Indeed, you've found 'The Cake Fic'.] It's Anna's eighteenth birthday, and all she wants to do is spend it with Elsa. The door, however, remains just as opaque and forbidding as always. This eternal barrier between them is changing her feelings daily. Can she reach her sister, if only for this one special occasion? Maybe if they could share her cake... [STRONG M for acts/themes||https://www.fanfiction.net/s/10079097/1/Min-S%C3%B8ster-Bursdagskake|
Mistress Knows Best|A Cold Touch|2|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|23/01/15|01/03/14|A short, smut one-shot involving a little roleplay between Elsa and Anna.||https://www.fanfiction.net/s/10152557/1/Mistress-Knows-Best|
More Than Just Sisters|A Cold Touch|21|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|A series of lemons detailing Elsa and Anna's secret relationship. Despite the dangers of their taboo love, the two sisters fall in the embrace of love and desire. Elsanna icest ensues. Rated m for a reason||https://www.fanfiction.net/s/9933932/1/More-Than-Just-Sisters|
Movie Star Love|PhantomGemini|59|Multi-Chapter|No|mAU|Movie Star|Actress|No|No|M|Plot Focused|15/01/15|27/11/13|Actor!Au: When Anna, an unknown extra and Elsa, a rising star meet at the 85th Academy Awards, sparks fly. Anna thought it was just luck and that she'll never have a chance with the blonde beauty. That is until she found herself playing one of the main characters and also the rising star's younger sister in the new movie Frozen. (Rating has changed for the future||https://www.fanfiction.net/s/10217086/1/Movie-Star-Love|
My Oblivious Sister|justonemoreartist|7|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|K+|None|04/01/15|05/11/13|The queen of Arendelle, secure in her magic, position and family, wants for nothing. Nothing, except perhaps some well-needed introspection, because Anna's noticing some things about Elsa that she herself clearly doesn't. Follow Anna as she realizes Elsa's true preferences and tries to tell her sister what she doesn't know about herself.||https://www.fanfiction.net/s/10804734/1/My-Oblivious-Sister|
My Sister's Mistress|Jessica-X|88|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Heavy|18/01/15|27/11/13|Two months have passed since the Great Thaw, and Queen Elsa and Princess Anna are getting reacquainted after a lifetime apart. But one night will change all that, and the power dynamic within Anna's bedchambers. It is a dark, dark place to which they descend. Will the kingdom of Arendelle survive their unbridled lust and dangerous games? [WARNING: EXTREME KINK, ICEST.] :COMPLETE||https://www.fanfiction.net/s/10354516/1/My-Sister-s-Mistress|
Not So Alone|pictureswithboxes|35|Multi-Chapter|No|mAU|CEO|Adult|No|Yes|T|None|15/01/15|27/11/13|Modern AU; Elsa and Anna haven't been that close, but will the death of their parents do anything to change that. [Elsanna||https://www.fanfiction.net/s/9990230/1/Not-So-Alone|
On the North Winds|purplebutterflies|145|Multi-Chapter|No|STP|Lost Princess|Princess|Yes|Yes|T|Plot Focused|15/01/15|27/11/13|What if Elsa had gotten lost on the way to bring Anna to the trolls? And consumed by regret and surrounded by powers she can't control, she found herself far away from home? This fic reimagines the whole plot of Frozen with Elsa growing up away from Arendelle, and Anna left behind as the sole heir. Luckily not even such long odds could make Anna give up on her sister. This is an epic fic, and although it takes a long time before there's any actual Elsanna, it's a fun ride along the way and worth the wait.|http://archiveofourown.org/works/1128133/chapters/3742904?view_adult=true||
Operation GingerAil|loveable-elsanna|22|Multi-Chapter|No|mAU|Secret Service Agent|Daughter of Businessman|No|No|M|None|30/10/14|28/03/14|||https://www.fanfiction.net/s/10223534/1/Operation-GingerAil|
Pact of Wanderlust|Khnolinar|25|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|Medium|15/01/15|27/11/13|Elsa and Anna are in love, and have been, in secret, for a long time. They share everything from the responsibilities and burdens of ruling their kingdom, to their hearts and their bed. Yet, during a diplomatic trip to corona events transpire that may bring them closer than they ever thought possible. Pact offers a breath of fresh air, completely discarding many of the cliches of the Elsanna genre, like Anna being useless while Elsa is constantly caught up in random paperwork, and having the two sisters spend chapters and chapters dancing around their feelings for eachother.||https://www.fanfiction.net/s/10167694/1/Pact-of-Wanderlust|
Popsicle Fingers|BigMammaLlama5|4|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|23/01/15|01/02/14|According to Elsa, the best way to warm your fingers up is in your lover.||https://www.fanfiction.net/s/10071824/1/Popsicle-Fingers|
Predatory|Horrific Nerd|3|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|23/01/15|19/01/14|Anna fell asleep during the sisters' 'intimate time' and Elsa's not impressed. ||https://www.fanfiction.net/s/10037164/1/Predatory|
Promise I Always Will|bholley|3|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|K|None|28/01/15|30/12/14|Anna has a nightmare and goes to Elsa for reassurance. Nobody answers her knocks on the door and Anna falls apart. It is up to Elsa to put the pieces back together. (Sisterly fluff. Oneshot.)||https://www.fanfiction.net/s/10930444/1/Promise-I-Always-Will|
Protected in the Dark|The Syndra|4|Multi-Chapter|Yes|AU|Dark Warrior|Light Warrior|No|No|M|Pure|18/01/15|27/11/13|Elsa and Anna are mortal enemies fighting for opposing sides in an endless war. But, when Elsa finds Anna alone in the forest in the dead of the night, they share a little more than just fighting blows. [ElsAnna, Smut, Kinks, Violence, Language]. Oneshot||https://www.fanfiction.net/s/10557998/1/Protected-in-the-Dark|
r9kElsa Is Happiness|AnonElsa|3|One-Shot|Yes|mAU|Hot Blonde|Hot Redhead|No|Yes|M|Pure|28/10/14|02/01/14|||https://www.fictionpress.com/s/3174206/1/Elsa-Is-Happiness|
r9kElsa Is Suffering|AnonElsa|78|Multi-Chapter|Yes|mAU|4chan Shut-in|Student|No|Yes|M|Plot Focused|28/10/14|21/12/13|||https://www.fictionpress.com/s/3172150/1/r9kElsa-Is-Suffering|
Raging Storm|buildasn0wman|44|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|Plot Focused|15/01/15|27/11/13|Anna, growing tired of Kristoff's annoying antics, seeks out a new source of entertainment, and discovers feelings and secrets that may have been best kept hidden. Elsanna, F/F, rated M for language and sexual content. Starts off around five months after the end of Frozen||https://www.fanfiction.net/s/10053705/1/Raging-Storm|
Reflection|J. Peterson|9|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|T|None|04/01/15|30/08/13|||https://www.fanfiction.net/s/10656947/1/Reflection|
Rude Gal|quickandevery|45|Multi-Chapter|No|mAU|College Student|College Student|No|No|M|Plot Focused|15/01/15|27/11/13|Anna has just started her new life at college, and quickly finds herself falling head over heels for a certain older blonde. But Elsa has her own problems and demons that she feels she must keep concealed.||https://www.fanfiction.net/s/10097548/1/Rude-Gal|
Second Helpings|elsannonymous|2|One-Shot|Yes|mAU|Adult|Adult|No|Yes|M|Pure|23/01/15|10/07/14|Anna and Elsa are very close sisters. Closer than Kristoff knows.||https://www.fanfiction.net/s/10525925/1/Second-Helpings|
Servant to the Queen|Oogi|17|Multi-Chapter|No|STP|Queen|Servant|Yes|No|T|None|15/01/15|27/11/13|Anna is a lowly ice harvester who sneaks into the castle on the night of Queen Elsa's coronation, and accidentally develops a crush on her sovereign ruler. Now, months later, her and her partner Kristoff are on the verge of starvation from their failing business, and Anna is forced to take on a job as a servant in the castle. Full summary inside, but this will be Elsanna, DL;DR. A||https://www.fanfiction.net/s/9990490/1/Servant-to-the-Queen|
Shall We Dance|Yamino|10|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|K+|None|15/01/15|27/11/13||http://archiveofourown.org/works/1120158/chapters/2257352?view_adult=true||
Shore|ATHPluver|59|Multi-Chapter|Yes|mAU|Mermaid|Teenager|Different|No|T|None|15/01/15|27/11/13|Anna has spent her whole life travelling the world with her marine biologist parents, but when they move to Arendelle Cove she finds someone (or something?) that will change their lives forever.||https://www.fanfiction.net/s/10114427/1/Shore|
Small Chance|fuckimshippingit|15|Multi-Chapter|No|mAU|Homophobic Woman|Gay Woman|No|No|M|None|15/01/15|27/11/13|When a homophobic Elsa decides to participate in a 'first gay hug' video, she thinks it'll be just a simple hug and leave. But when she meets her 'partner', miss Anna Arendelle, simple isnt really how she'd describe it. Modern Elsanna, no incest, but much fluff...and stuff||https://www.fanfiction.net/s/10234359/1/Small-Chance|
Snowmelt in Steam|Arendeller|6|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|02/11/14|27/11/13|||https://www.fanfiction.net/s/9947573/1/Snowmelt-in-Steam|
So Into You|JustElsa|35|Multi-Chapter|No|mAU|High School Student|High School Student|No|Yes|M|Plot Focused|29/10/14|20/03/14|||https://www.fanfiction.net/s/10202810/1/So-Into-You|
Some Kind Of Mistake|CanITellUSmThin|62|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|Plot Focused|05/01/15|26/05/14|From AO3: While attending the first ever masquerade ball thrown at the Arendelle castle, Anna finds herself drawn into the arms of an enchanting guest and her entire world is turned upside down. ELSANNA/INCEST |http://archiveofourown.org/works/2057655/chapters/4470606|https://www.fanfiction.net/s/10379085/1/Some-Kind-Of-Mistake|
Something Crazy|FrozenFractals|1|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|'Anna' she whined. 'I'm exhausted. And you're insatiable. Please let me sleep.||https://www.fanfiction.net/s/9930235/1/Something-Crazy|
Somewhere In Time|KingdomKey1121|41|Multi-Chapter|Yes|AU|Various|Various|No|No|T|None|15/01/15|27/11/13|Inspired by Cloud Atlas, this fic tells 8 stories of various incarnations of Anna and Elsa meeting and loving and losing and living throughout history. This is essentially an imaginative collection of one-shots based around the idea that no matter where or when they are, Anna and Elsa are always meant to be together.||https://www.fanfiction.net/s/10083672/1/Somewhere-In-Time|
Stolen Ice|Aesla|224|Multi-Chapter|Yes|mAU|Con-Artist/Thief|Con-Artist|Different|Yes|M|Plot Focused|20/09/14|26/02/14|Orphans Anna and Elsa are separated at a young age. With no memory of each other Anna grows up into a masterful thief/con-artist, and Elsa's strange powers help her become a reclusive hacker prodigy. This fic features things like actual character development, and an engaging plot of crime and betrayal, all held together by the slowly budding romance between the two unknowing sisters. This is definitely an AU, yet this Elsa and Anna feel more faithful to their canon counterparts than many of the other AUs on this list.||https://www.fanfiction.net/s/10144343/1/Stolen-Ice|
Stolen Ice Epilogue|Aesla|11|One-Shot|Yes|mAU|Con-Artist/Thief|Con-Artist|Different|Yes|M|Plot Focused|31/10/14|30/09/14|||https://www.fanfiction.net/s/10726163/1/Stolen-Ice-Epilogue|
Stoplight Party|TheSyndra|63|Multi-Chapter|Yes|mAU|College Student|College Student|No|No|M|Heavy|18/01/15|27/11/13|Elsa's throwing her last party before she graduates from college when she spots Anna. There are a few reasons why she shouldn't pursue Anna, but she's too drunk and Anna's too cute to pass this opportunity up. [ElsAnna, Smut, Kinks, Drinking, Plot, things relevant to the chapter posted at the top]||https://www.fanfiction.net/s/10383870/1/Stoplight-Party|
Succumbre|Garlic|23|Multi-Chapter|No|mAU|Businesswoman|Escort|No|No|M|Heavy|28/10/14|25/07/14|Anna has thrived so long by keeping people at arm's length. Elsa might not make it much longer keeping people at arm's length. Sometimes a touch is so much more than a touch.||https://www.fanfiction.net/s/10566331/1/Succumbre|
Swedish Massage|bholley|7|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|K|None|28/01/15|14/12/14|A diplomatic team from Sweden visits Arendelle and offers a massage to the queen as a gift. When she learns what a massage is, Elsa shuts down and ends the conversation. Anna convinces Elsa to let her learn how to do a massage. Sisterly fluff and hurt/comfort ensues.||https://www.fanfiction.net/s/10891448/1/Swedish-Massage|
Taking turns|hrimcealdsae|7|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13||http://archiveofourown.org/works/1207747/chapters/2468059?view_adult=true||
Taps|bholley|1|One-Shot|Yes|Canon|Princess|Princess|Yes|Yes|K|None|28/01/15|07/01/15|Queen Idun gives little Anna a bit of insight as to why Elsa doesn't come out of her room any more. All Anna wants to do is help her sister. (Short oneshot, childhood, very little fluff. Just an expansion on what could have happened. Canon-compliant.)||https://www.fanfiction.net/s/10954457/1/Taps|
Tempest|kaiserklee|265|Multi-Chapter|Yes|STP|Queen of Southern Isles|Princess of Arendelle|Powerful|No|M|None|30/10/14|30/12/13|Queen Elsa of the southern isles reigns with an icy fist. She uses her powers to pursue a brutal campaign of conquest and subjugation, until she reaches Arendelle and for the first time in forever finds someone who might be able to break through the walls of ice around her heart. But between the conspiracies of the 13 southern prices, and a mysterious dark force, will Anna even get a chance to try?||https://www.fanfiction.net/s/9972423/1/Tempest|
Tessellate|buildasn0wman|95|Multi-Chapter|No|mAU|Student|Student|Yes|Yes|M|Plot Focused|28/10/14|02/03/14|Elsa thought that leaving home for university might help her forget her feelings, might help her control her powers, but when Anna gets accepted to the same university as her it all comes back. Imagine if /r9k/EiS had been planned out from the beginning instead of just being a collection of one shot prompts that took on a life of their own. Add in ice powers (which make everything more interesting) and you basically have Tessellate. While it takes a more focused, controlled approach to the angst compared to EiS's blunt sledgehammer of feels, this is a deeply emotional fic that will leave you begging for some fluff.||https://www.fanfiction.net/s/10155342/1/Tessellate|
The Chess Match|battousait24|2|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|[ONE-SHOT; ELSANNA] Anna and Elsa play a game of chess. Elsa is obviously winning. Anna is losing terribly and she tries to find a way to win, even if she has to resort to cheating. Not so much fluff and more on smut. Inspired by Chapter 1 of 'Argos' by 4mation||https://www.fanfiction.net/s/9959060/1/The-Chess-Match|
The Clean Flame|hotskytrotsky|23|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|Plot Focused|15/01/15|27/11/13|A decade of isolation can take a heavy toll on a person. As much as Elsa and Anna are sure they love each other unconditionally, they don't really know each other, or even really themselves. When they start figuring out how to open up they might find more than they expected. The eloquence of the writing in this fic is matched only by the author's clear understanding of the sisters and their deep-seated insecurities. It's still early on in what promises to be a long story, but there's already so much heart and emotion in just these few chapters.|http://archiveofourown.org/works/1603178/chapters/3411962?view_adult=true||
The Coldest Moon|LucidMagic|45|Multi-Chapter|No|mAU|College Student/Werewolf|High School Student|Different|Yes|T|None|24/01/15|01/03/14|In the town of Arendelle, there's something paranormal brewing, and the Arendelle sisters seems to be in the center of the storm. However, only the eldest fully knows what's happening. As a werewolf and the family's matriarch, Elsa must hide this world from Anna while trying to conceal the blossoming feelings for her. With her supernatural connections, friends, and enemies, Elsa is willing to keep this secret until it burst at the seams. Only murders, rivalries, and that annoying, perfect boyfriend seems to get in the way of her wishes. Full of mystery and slow burning romance.||https://www.fanfiction.net/s/10152486/1/The-Coldest-Moon|
The Company|freudianslip13|63|Multi-Chapter|Yes|mAU|Ballerina|Ballerina|No|No|M|Medium|17/01/15|12/09/14|||https://www.fanfiction.net/s/10688066/1/The-Company|
The Contract|Zoeyz|29|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|T|None|15/01/15|27/11/13|After the great thaw Elsa finds herself spending all her time wrapped up in the work of running their kingdom, and Anna is feeling neglected.||https://www.fanfiction.net/s/9911459/1/The-Contract|
The Foxwife|Rustythedragon|35|Multi-Chapter|Yes|mAU|Veterinarian|Magical Fox|No|No|M|Plot Focused|23/01/15|26/07/14|Veterinarian Elsa finds an injured fox on her way home from work. She decides to rescue it, but gets far more than she bargained for when the fox turns out to be a magical creature, capable of taking on the form of a beautiful girl, who has her heart set on making Elsa her new wife!||https://www.fanfiction.net/s/10568815/1/The-Foxwife|
The Hot Springs|hmselsanna|2|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|Anna takes Elsa to visit a hot spring. Of course, interesting things happen when you expose ice to heat. One-shot Fluff/smut, or Smuff if you will. There are sexy fun-times, and it is Elsanna. dl:d||https://www.fanfiction.net/s/10111269/1/The-Hot-Springs|
The Infinite Prison|Solosam|22|Multi-Chapter|Yes|AU|Adult|Adult|Yes|Yes|T|None|15/01/15|27/11/13|Elsa and Anna discover that their father is still alive, and head to the Southern Isles on a rescue mission. Disaster strikes when an old enemy returns, intent on stopping them from discovering the terrible secret of the Infinite Prison... Love and loyalty are pushed to the brink in the third episode of the 'Perfect Diamond World' series||https://www.fanfiction.net/s/10513479/1/The-Infinite-Prison|
The Legend of Elsa|Rinjin|329|Multi-Chapter|Yes|AU|Queen|Hero|Yes|No|M|None|15/01/15|27/11/13|Medieval AU, inspired partly by the Legend of Zelda. Anna is raised by trolls, completely ignorant of the human world. By chance, she meets a young icer named Kristoff, and comes to learn about human society, where she develops an ambition for becoming a knight. Eventual Elsanna (extremely slow burn). Rated M for some violence and adult themes||https://www.fanfiction.net/s/10215672/1/The-Legend-of-Elsa|
The Lies We Tell Ourselves|Took-An-Arrow|44|Multi-Chapter|No|mAU|College Student|High School Student||Yes|M|Heavy|15/01/15|27/11/13|Elsa thought she could ignore it, make it go away, make her go away. But some feelings, some addictions, can't be so easily dismissed, especially when those addictions feel the same way. If Tessellate is EiS's better structured cousin, then this fic is the incredibly smutty version. I had considered putting this in the smut section but decided that wouldn't do justice to the superbly crafted substance and emotion behind all the sex. Also, it's written by the author of Lying Here With You, and the contrast between the tone and content of the two stories is hilarious.||https://www.fanfiction.net/s/10149159/1/The-Lies-We-Tell-Ourselves|
The Powers That Be|CosmicSon|63|Multi-Chapter|No|STP|Queen|Princess|Yes|Yes|M|None|26/01/15|26/08/14|||https://www.fanfiction.net/s/10648022/1/The-Powers-That-Be|
The Proletariat's Champion|H2Oloo|16|Multi-Chapter|No|AU|Rebel|Rebel|Yes|No|M|Plot Focused|24/12/14|23/11/13|||https://www.fanfiction.net/s/10844534/1/The-Proletariat-s-Champion|
The Queen and the Hive|jcv0284|22|Multi-Chapter|No|mAU|Technician|Cyborg|Yes|No|M|None|04/02/15|21/08/14|||https://www.fanfiction.net/s/10637388/1/The-Queen-and-the-Hive|
The Queen's Consort|1Syphira|33|Multi-Chapter|No|AU|Farie Queen of Winter|Daughter of Summer (Princess)|Yes|No|M|Medium|15/01/15|27/11/13|Elsa is the the faerie queen of winter, who along with the other faeries kings and queens maintain the natural order of the world. She is married to Anna, the youngest daughter of summer, who despite Elsa's controlled, icy demeanor is utterly infatuated with her wife. Dark forces are stirring in this magical world, and strange forces may put their love to the test with the fate of the world hanging in the balance. This is a rare story that starts off incredibly smutty, but within a few chapters, as the plot kicks into gear it mellows out and become heart-meltingly adorable. Between it's unusual structure, and fascinating fairy tale universe this fic brings a lot of interesting, original ideas to this genre that often falls into cliche.||https://www.fanfiction.net/s/10265469/1/The-Queen-s-Consort|
The Queen's Icy Touch|JimbabweK88|3|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|29/12/14|31/08/13|||https://www.fanfiction.net/s/10661352/1/Complete-The-Queen-s-Icy-Touch-Trilogy|
The Queen's Mercy|JYN044|63|Multi-Chapter|No|STP|Queen|Thief|Powerful|No|M|None|05/01/15|23/12/14|Gifted with ice magic, Elsa grew up an only child. Five years ago, she was crowned Queen of Arendelle. Despite proving an able ruler, she has endured a lonesome existence since the deaths of her parents. But after a fateful encounter with a peasant named Anna, the Queen discovers both a chance at happiness and a shadowy conspiracy that threatens to destroy her kingdom.||https://www.fanfiction.net/s/10910214/1/The-Queen-s-Mercy|
The Ravens of Asgard|Solosam|24|Multi-Chapter|Yes|AU|Adult|Adult|Yes|Yes|T|None|15/01/15|27/11/13|Elsa and Anna's secret is revealed to the world. Two mysterious brothers are behind it it all. Who are they and what do they want? At the heart of the mystery waits Wotan and the Ravens of Asgard. The fourth entry in the 'Perfect Diamond World' series||https://www.fanfiction.net/s/10549710/1/The-Ravens-of-Asgard|
The Royal Commoner|Amnestyyy|41|Multi-Chapter|No|STP|Queen|Commoner|Yes|No|T|None|05/01/15|07/12/13|||https://www.fanfiction.net/s/10874215/1/The-Royal-Commoner|
The Scientist|departmentoftheinterior|22|Multi-Chapter|No|mAU|TA|College Student|No|No|M|None|15/01/15|27/11/13|Skintight faded black jeans clung to every muscular curve of her legs, running right into the ankle-high boots on her feet. The girl's wild platinum-blonde hair was pulled into a loose braid over her left shoulder, and untamed wisps were haphazardly slicked back on her head. [...Ok. So, she's our TA. Definitely not what I expected.] [Elsanna] ChemTA!Elsa/freshman!Ann||https://www.fanfiction.net/s/10065971/1/The-Scientist|
The Stables|battousait24|5|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|[ELSANNA - dl;dr] Elsa has a lot of paperwork to attend to. Thankfully, Anna is there to relieve her stress. Anna, however, has something planned just a few hours before a very important meeting that the Queen just simply cannot cancel. Not-so-fluffy smut. Inspired by Chapter 4 of 'Argos' by 4mation||https://www.fanfiction.net/s/9984754/1/The-Stables|
The Takeover|Brooke-shutsano|206|Multi-Chapter|No|mAU|Lawyer|Medical Student|No|No|M|Plot Focused|15/01/15|27/11/13|Elsa is a young lawyer working for the law firm she inherited from her father. After a particularly hard day she decides to do something she hasn't done in a long time; she goes to a pub to unwind. When she meets Anna her life starts getting more complicated than she could have imagined, can their new relationship handle the strain? Don't be dissuaded by the simplistic summary of the self-deprecating authors note on the first chapter. There's a lot more to this fic than meets the eye. Some drama, action, fluff, and beautifully executed plot twists that will leave you wondering what's going to happen next.||https://www.fanfiction.net/s/10213078/1/The-Takeover|
The Weight of Snow|jenhill7|61|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|None|04/01/15|17/11/13|||https://www.fanfiction.net/s/10831168/1/The-Weight-of-Snow|
Tightropes|icicleheart|2|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|After a particularly nasty fight, Anna finds comfort and release in being ravished by Elsa, BDSM-style. Smut with a bunch of sisterly love in there. Elsanna||https://www.fanfiction.net/s/10017933/1/Tightropes|
To New Frontiers|Celdarion|19|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|None|15/01/15|27/11/13|Six months after the thaw, Elsa and Anna are finally reconnecting as sisters, and life is returning to normal. But soon, Arendelle finds itself at odds with the mighty Western Alliance and its ruthless figurehead, and it is not long before the sisters are caught up in a desperate struggle for survival||https://www.fanfiction.net/s/10527899/1/To-New-Frontiers|
To Thaw a Wild Heart|RachetElsaKicksAss|42|Multi-Chapter|No|STP|Wilding|Crown Princess|Yes|No|M|None|26/01/15|22/10/14|||https://www.fanfiction.net/s/10775268/1/To-Thaw-a-Wild-Heart|
Tough Choices|theBringerofWar|62|Multi-Chapter|Yes|mAU|Teacher|High School Student|No|No|M|Plot Focused|15/01/15|27/11/13|Modern AU. Elsanna. Elsa lands a job as a high school science teacher fresh out of college and signs up to coach the girl's tennis team. She expects everything to go smoothly until her first day, when she meets Anna- the self-proclaimed captain of her tennis team||https://www.fanfiction.net/s/10090128/1/Tough-Choices|
Toy Swords and Saltwater Kisses|Wolf Brigade|37|Multi-Chapter|No|AU|Pirate hunter|Pirate captain|No|No|T|None|05/01/15|24/03/13|Elsa has spent her life in the navy hunting down pirates and making them pay for their crimes. She knows that pirates are ruthless, and savage, and deserve nothing better than a quick death. So who is this cheerful, sunny young girl who calls herself the Summer Princess and who is feared across all the southern seas? Who doesn't love pirates! In addition to badass versions of Elsa and Anna this fic features a refreshingly new take on the concept of forbidden relationship guilt.|http://archiveofourown.org/works/1363573/chapters/2848561|https://www.fanfiction.net/s/10214047/1/Toy-Swords-and-Saltwater-Kisses|
Triple Deluxe|ShindeTsuku|4|Multi-Chapter|No|mAU|Adult|Adult|Yes|Yes|M|Pure|24/01/15|08/01/15|Rapunzelsanna, modern AU heavily influenced by my other story, Can I Help You Find Something.||https://www.fanfiction.net/s/10958658/1/Triple-Deluxe|
Turnabout is Fair Play|A Cold Touch|2|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|23/01/15|24/03/14|Elsa had given Anna the green light to play as Mistress. But she never expected that the sweet little girl could pull something like this!||https://www.fanfiction.net/s/10213487/1/Turnabout-is-Fair-Play|
Victims of Circumstance|Aesla|25|Multi-Chapter|Yes|Canon|Queen|Princess||Yes|M|Heavy|15/01/15|27/11/13|After the great thaw Elsa spends all her time trying to find ways to rebuild Arendelle's economy, but Anna keeps finding ways to help distract her. A smutty romance that also takes time to address how Elsa's magic could benefit her kingdom, but also the toll that it takes on her and her relationship with her sister. From the author of Stolen Ice.||https://www.fanfiction.net/s/9959085/1/Victims-of-Circumstance|
Watching You Watching Me|4mation|4|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|27/01/15|10/08/14||http://archiveofourown.org/works/2423327||
